Tag,Label,Note
urn:cite:hclat:topic.impftactind2,"Imperfect active indicative form, 2nd conjugation","Translates as 'was', 'used to' or 'kept on'."
urn:cite:hclat:topic.impftactind3,"Imperfect active indicative form, 3rd conjugation","Translates as 'was', 'used to' or 'kept on'."
urn:cite:hclat:topic.impftactind4,"Imperfect active indicative form, 4th conjugation","Translates as 'was', 'used to' or 'kept on'."
urn:cite:hclat:topic.impftactindir,Imperfect active indicative form of an irregular verb,"Translates as 'was', 'used to' or 'kept on'."
urn:cite:hclat:topic.impftactsub1,"Imperfect active subjunctive form, 1st conjugation",Translation depends on use.  Incomplete past action.
urn:cite:hclat:topic.impftactsub2,"Imperfect active subjunctive form, 2nd conjugation",Translation depends on use.  Incomplete past action.
urn:cite:hclat:topic.impftactsub3,"Imperfect active subjunctive form, 3rd conjugation",Translation depends on use.  Incomplete past action.
urn:cite:hclat:topic.impftactsub4,"Imperfect active subjunctive form, 4th conjugation",Translation depends on use.  Incomplete past action.
urn:cite:hclat:topic.ipse,Form of the pronoun ipse/ipsa/ipsum,Pronoun meaning '-self'.  Used to intensify so noun.
urn:cite:hclat:topic.interrog,Interrogative,A word that introduces a question.
urn:cite:hclat:topic.is,Form of the pronoun is/ea/id,"Pronoun meaning 'he', 'she', or 'it'."
urn:cite:hclat:topic.loc,Locative,"Expresses being in or at a place.  Used with cities, towns, and small islands."
urn:cite:hclat:topic.nompl1,"Nominative plural form, 1st declension",Ending '-ae'
urn:cite:hclat:topic.nompl2,"Nominative plural form, 2nd declension",Ending '-i'
urn:cite:hclat:topic.nompl3,"Nominative plural form, 3rd declension",Ending '-es'
urn:cite:hclat:topic.nompl4,"Nominative plural form, 4th declension",Ending '-us'
urn:cite:hclat:topic.nompl5,"Nominative plural form, 5th declension",Ending '-es'
urn:cite:hclat:topic.nomsg1,"Nominative singular form, 1st declension",Enging '-a'
urn:cite:hclat:topic.nomsg2,"Nominative singular form, 2nd declension",Ending '-us' or '-um'
urn:cite:hclat:topic.nomsg3,"Nominative singular form, 3rd declension",Ending varies
urn:cite:hclat:topic.nomsg4,"Nominative singular form, 4th declension",Ending '-us'
urn:cite:hclat:topic.ntpl,Neuter plural,Ending '-a'.  Both the nominative and accusative are the same.
urn:cite:hclat:topic.num,Numeral,"An ordinal number, written out (such as 'unus', 'duo', 'tres', etc.)"
urn:cite:hclat:topic.pftactind,Perfect active indicative,Translates as 'did'.  Completed past action.
urn:cite:hclat:topic.pftactsub,Perfect active subjunctive,Translation depends on use.  Completed past action.
urn:cite:hclat:topic.pftpasind,Perfect passive indicative,Translates as 'did'.  Completed past action.
urn:cite:hclat:topic.pftpaspart,Perfect passive participle,Translates as 'having been done'.
urn:cite:hclat:topic.ppftactind,Pluperfect active indicative,Translates as 'had'.
urn:cite:hclat:topic.prep,Prepositional phrase,"A preposition and an object (in the accusative, ablative, or genitive case)"
urn:cite:hclat:topic.presactimp1,"Present active imperative form, 1st conjugation",Command
urn:cite:hclat:topic.presactimp2,"Present active imperative form, 2nd conjugation",Command
urn:cite:hclat:topic.presactimp3,"Present active imperative form, 3rd conjugation",Command
urn:cite:hclat:topic.presactimp4,"Present active imperative form, 4th conjugation",Command
urn:cite:hclat:topic.presactind1,"Present active indicative form, 1st conjugation",Translates as 'is'.
urn:cite:hclat:topic.presactind2,"Present active indicative form, 2nd conjugation",Translates as 'is'.
urn:cite:hclat:topic.presactind3,"Present active indicative form, 3rd conjugation",Translates as 'is'.
urn:cite:hclat:topic.presactind4,"Present active indicative form, 4th conjugation",Translates as 'is'.
urn:cite:hclat:topic.presactindir,Present active indicative of an irregular verb,Translates as 'is'.
urn:cite:hclat:topic.presactinf1,"Present active infinitive, 1st conjugation","A verbal noun, like 'to run' or 'to sit'. Translates as 'to'."
urn:cite:hclat:topic.presactinf3,"Present active infinitive, 3rd conjugation","A verbal noun, like 'to run' or 'to sit'. Translates as 'to'."
urn:cite:hclat:topic.presactinfir,Present active infinitive form of an irregular verb,"A verbal noun, like 'to run' or 'to sit'. Translates as 'to'."
urn:cite:hclat:topic.presactpart1,"Present active participle, 1st conjugation","A verbal adjective with a present sense, like 'the running man'."
urn:cite:hclat:topic.presactpart2,"Present active participle, 2nd conjugation","A verbal adjective with a present sense, like 'the running man'."
urn:cite:hclat:topic.presactpart3,"Present active participle, 3rd conjugation","A verbal adjective with a present sense, like 'the running man'."
urn:cite:hclat:topic.presactpart4,"Present active participle, 4th conjugation","A verbal adjective with a present sense, like 'the running man'."
urn:cite:hclat:topic.presactsub1,"Present active subjunctive form, 1st conjugation",Present verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.presactsub2,"Present active subjunctive form, 2nd conjugation",Present verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.presactsub3,"Present active subjunctive form, 3rd conjugation",Present verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.presactsub4,"Present active subjunctive form, 4th conjugation",Present verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.presactsubir,Present active subjunctive of an irregular verb,Irregular verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.prespasind1,"Present passive indicative form, 1st conjugation",Translates as 'is being'.
urn:cite:hclat:topic.prespasind2,"Present passive indicative form, 2nd conjugation",Translates as 'is being'.
urn:cite:hclat:topic.prespasind3,"Present passive indicative form, 3rd conjugation",Translates as 'is being'.
urn:cite:hclat:topic.prespasind4,"Present passive indicative form, 4th conjugation",Translates as 'is being'.
urn:cite:hclat:topic.prespasinf3,"Present passive infinitive form, 3rd conjugation","A verbal noun in the passive, like 'to be loved'.  Translates as 'to be'."
urn:cite:hclat:topic.prespassub1,"Present passive subjunctive form, 1st conjugation",Present verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.prespassub2,"Present passive subjunctive form, 2nd conjugation",Present verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.prespassub3,"Present passive subjunctive form, 3rd conjugation",Present verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.prespassub4,"Present passive subjunctive form, 4th conjugation",Present verb in the subjunctive mood.  Translation depends on use.
urn:cite:hclat:topic.purpose,Purpose clause,A subjunctive clause introduced by 'ut' or 'ne'.  Expresses purpose and translates as 'so that'.
urn:cite:hclat:topic.relpro,Relative pronoun,A form of qui/quae/quod meaning 'which'.
urn:cite:hclat:topic.result,Result clause,A subjunctive clause introduced by 'ut' or 'ut non'.  Expresses the result of an action and translates as 'that'.
urn:cite:hclat:topic.rfladj,Reflexive possessive adjective,A form of suus/sua/suum showing posession.  The case and gender depends on the noun it is describing (the thing being possessed).  The meaning refers to the subject of the sentence (the person doing the possessing).
urn:cite:hclat:topic.rflpro,Reflexive pronoun,A pronoun that refers back to the subject of the sentence.  The forms are sui/sibi/se/se.
urn:cite:hclat:topic.supadj,Superlative adjective,Adjective form '-issimus/a/um' that expresses 'most'.
urn:cite:hclat:topic.vocsg1,"Vocative singular form, 1st declension",Direct address.  Ending is the same as the nominative.
urn:cite:hclat:topic.vocsg2,"Vocative singular form, 2nd declension",Direct address.  Ending '-e'.
urn:cite:hclat:topic.vocsg3,"Vocative singular form, 3rd declension",Direct address.  Ending is the same as the nominative.
urn:cite:hclat:topic.vocsg4,"Vocative singular form, 4th declension",Direct address.  Ending is the same as the nominative.
urn:cite:hclat:topic.vocsg5,"Vocative singular form, 5th declension",Direct address.  Ending is the same as the nominative.
