Monument,Label,CorpusRef
urn:cite:shot:epigmon.obj77,Object 12 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj78,Object 13 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj79,Object 14 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj80,Object 15 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj81,Object 16 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj82,Statue base in the Capitoline Museum,
urn:cite:shot:epigmon.obj83,Object 1 in the Capitoline Museum,
urn:cite:shot:epigmon.obj84,Object 2 in the Capitoline Museum,"CIL 06, 36764"
urn:cite:shot:epigmon.obj85,Object 3 in the Capitoline Museum,
urn:cite:shot:epigmon.obj86,Object 4 in the Capitoline Museum,
urn:cite:shot:epigmon.obj87,Object 5 in the Capitoline Museum,"AE 1990, 0072"
urn:cite:shot:epigmon.obj88,Object 6 in the Capitoline Museum,
urn:cite:shot:epigmon.obj89,Object 7 in the Capitoline Museum,
urn:cite:shot:epigmon.obj90,"Arch in Piazza della Bocca della Verita, Rome",
urn:cite:shot:epigmon.obj91,"Object 1 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj92,"Object 2 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj93,"Object 3 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj94,"Object 4 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj95,"Object 5 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj96,"Object 6 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj97,"Object 7 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj98,"Object 8 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj99,"Object 9 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj100,"Object 10 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj101,"Object 11 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj102,"Object 12 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj103,"Object 13 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj104,"Object 14 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj105,"Object 15 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj106,"Object 16 now located in Chiesa di San Silvestro, Rome",
urn:cite:shot:epigmon.obj107,Arch of Titus,CIL 6.945
urn:cite:shot:epigmon.obj108,Arch of Constantine,"CIL 6.1139, 31425"
