ref,person,number,tense,mood,voice
urn:cite:hclat:verbAnalyses.80,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.88,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.89,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.92,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.93,"3rd","plural","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.94,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.95,"3rd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.100,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.101,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.96,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.97,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.98,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.99,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.102,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.103,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.104,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.137,"1st","singular","future","indicative","active"
urn:cite:hclat:verbAnalyses.139,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.140,"3rd","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.152,"1st","singular","future","indicative","active"
urn:cite:hclat:verbAnalyses.153,"1st","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.154,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.155,,,,"supine",
urn:cite:hclat:verbAnalyses.156,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.157,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.158,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.159,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.160,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.161,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.173,"3rd","plural","present","indicative","active"
urn:cite:hclat:verbAnalyses.174,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.175,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.176,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.177,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.178,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.179,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.180,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.181,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.189,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.191,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.193,"1st","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.194,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.195,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.199,,,"present","infinitive","passive"
urn:cite:hclat:verbAnalyses.207,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.208,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.209,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.210,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.211,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.212,"2nd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.213,"3rd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.215,"3rd","singular","future","indicative","active"
urn:cite:hclat:verbAnalyses.219,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.220,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.222,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.223,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.224,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.225,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.238,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.239,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.241,,,"present","infinitive","passive"
urn:cite:hclat:verbAnalyses.246,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.247,,,"present","infinitive","passive"
urn:cite:hclat:verbAnalyses.249,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.250,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.251,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.252,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.253,"2nd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.254,"3rd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.259,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.266,,,"present","infinitive","passive"
urn:cite:hclat:verbAnalyses.267,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.268,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.269,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.270,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.271,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.280,,"plural",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.281,,"plural",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.282,,"singular",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.283,,"singular",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.284,,"singular",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.285,,"singular",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.286,,,,"supine",
urn:cite:hclat:verbAnalyses.287,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.288,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.289,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.290,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.291,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.292,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.293,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.294,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.295,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.296,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.297,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.298,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.299,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.307,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.308,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.309,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.321,"3rd","singular","present","indicative","passive"
urn:cite:hclat:verbAnalyses.324,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.325,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.326,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.327,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.330,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.331,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.332,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.333,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.334,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.335,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.337,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.338,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.339,"3rd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.340,"1st","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.341,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.342,"2nd","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.347,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.348,"3rd","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.349,"3rd","singular","present","subjunctive","passive"
urn:cite:hclat:verbAnalyses.366,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.367,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.368,"2nd","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.373,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.374,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.375,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.376,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.377,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.378,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.379,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.380,,,"present","infinitive","active"
urn:cite:hclat:verbAnalyses.381,"3rd","singular","imperfect","subjunctive","active"
urn:cite:hclat:verbAnalyses.382,"3rd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.383,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.384,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.385,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.386,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.387,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.388,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.389,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.390,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.391,"2nd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.392,"3rd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.394,,,,"supine",
urn:cite:hclat:verbAnalyses.395,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.396,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.397,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.398,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.399,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.400,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.401,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.415,,"plural",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.416,,"plural",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.417,,"singular",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.418,,"singular",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.419,,"singular",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.420,,"singular",,"gerundive","passive"
urn:cite:hclat:verbAnalyses.421,,,,"supine",
urn:cite:hclat:verbAnalyses.422,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.423,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.424,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.425,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.426,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.427,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.429,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.430,"1st","singular","present","subjunctive","passive"
urn:cite:hclat:verbAnalyses.433,,,"present","infinitive","passive"
urn:cite:hclat:verbAnalyses.434,"1st","plural","imperfect","subjunctive","active"
urn:cite:hclat:verbAnalyses.436,"2nd","plural","present","imperative","passive"
urn:cite:hclat:verbAnalyses.437,"2nd","plural","present","indicative","passive"
urn:cite:hclat:verbAnalyses.442,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.456,"3rd","plural","pluperfect","indicative","active"
urn:cite:hclat:verbAnalyses.463,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.471,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.472,,,,"null",
urn:cite:hclat:verbAnalyses.474,"1st","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.483,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.484,"3rd","plural","pluperfect","subjunctive","active"
urn:cite:hclat:verbAnalyses.486,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.487,"1st","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.489,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.490,"1st","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.491,,,"present","infinitive","passive"
urn:cite:hclat:verbAnalyses.492,"1st","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.502,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.503,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.504,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.505,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.506,"2nd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.507,"3rd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.508,,,,"supine",
urn:cite:hclat:verbAnalyses.509,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.510,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.511,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.512,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.513,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.514,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.515,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.522,"1st","singular","future","indicative","active"
urn:cite:hclat:verbAnalyses.523,"1st","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.528,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.532,"3rd","singular","pluperfect","indicative","active"
urn:cite:hclat:verbAnalyses.533,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.534,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.535,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.536,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.537,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.538,"2nd","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.551,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.552,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.553,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.554,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.555,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.556,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.557,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.571,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.572,,,,"supine",
urn:cite:hclat:verbAnalyses.573,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.574,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.575,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.576,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.577,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.578,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.580,"1st","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.592,"3rd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.593,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.602,"2nd","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.603,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.604,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.605,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.606,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.607,"2nd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.608,"3rd","singular","future","imperative","active"
urn:cite:hclat:verbAnalyses.609,"1st","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.610,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.611,,"singular","present","participle","active"
urn:cite:hclat:verbAnalyses.612,"1st","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.622,"3rd","singular","perfect","indicative","active"
